Attribute Type,Type Description,Archtechture flag,visible,Important,required,Allow Multiple,code,Code label,Code Description
7.1.122 Communicate Information on the Joint Worldwide Intelligence Communications System (JWICS) Network,,,,,,,,,
7.1.123 Communicate Information on the Coalition Mission Network,,,,,,,,,
8.2.22 Access Information at Multiple Levels of Security,,,,,,,,,
8.2.27 Manage Multiple Security Levels,,,,,,,,,
8.2.52 Manage Security Configuration,,,,,,,,,
7.1.120 Communicate Information on the Secret Internet Protocol Router Network (SIPRnet),,,,,,,,,
7.1.121 Communicate Information on the Non-Classified Internet Protocol Router Network (NIPRnet),,,,,,,,,
7.1.122 Communicate Information on the Joint Worldwide Intelligence Communications System (JWICS) Network,,,,,,,,,
7.1.123 Communicate Information on the Coalition Mission Network,,,,,,,,,
8.2.22 Access Information at Multiple Levels of Security,,,,,,,,,
8.2.27 Manage Multiple Security Levels,,,,,,,,,
8.2.52 Manage Security Configuration,,,,,,,,,
7.1.120 Communicate Information on the Secret Internet Protocol Router Network (SIPRnet),,,,,,,,,
7.1.121 Communicate Information on the Non-Classified Internet Protocol Router Network (NIPRnet),,,,,,,,,
7.1.122 Communicate Information on the Joint Worldwide Intelligence Communications System (JWICS) Network,,,,,,,,,
7.1.123 Communicate Information on the Coalition Mission Network,,,,,,,,,
8.2.22 Access Information at Multiple Levels of Security,,,,,,,,,
8.2.27 Manage Multiple Security Levels,,,,,,,,,
8.2.52 Manage Security Configuration,,,,,,,,,
7.1.120 Communicate Information on the Secret Internet Protocol Router Network (SIPRnet),,,,,,,,,
7.1.121 Communicate Information on the Non-Classified Internet Protocol Router Network (NIPRnet),,,,,,,,,
7.1.122 Communicate Information on the Joint Worldwide Intelligence Communications System (JWICS) Network,,,,,,,,,
7.1.123 Communicate Information on the Coalition Mission Network,,,,,,,,,
8.2.22 Access Information at Multiple Levels of Security,,,,,,,,,
8.2.27 Manage Multiple Security Levels,,,,,,,,,
8.2.52 Manage Security Configuration,,,,,,,,,
7.1.120 Communicate Information on the Secret Internet Protocol Router Network (SIPRnet),,,,,,,,,
7.1.121 Communicate Information on the Non-Classified Internet Protocol Router Network (NIPRnet),,,,,,,,,
7.1.122 Communicate Information on the Joint Worldwide Intelligence Communications System (JWICS) Network,,,,,,,,,
7.1.123 Communicate Information on the Coalition Mission Network,,,,,,,,,
8.2.22 Access Information at Multiple Levels of Security,,,,,,,,,
8.2.27 Manage Multiple Security Levels,,,,,,,,,
8.2.52 Manage Security Configuration,,,,,,,,,
