Attribute Type,Type Description,Archtechture flag,visible,Important,required,Allow Multiple,code,Code label,Code Description
3.2.2.2,,,Stationary Target (ENK),,,,,, 
3.2.2.2.1,,,,Surface (ENKS),,,,, 
3.2.2.2.1.1,,,,,Point (ENKSS),,,, 
3.2.2.2.1.2,,,,,Area (ENKSS),,,, 
3.2.2.2.2,,,,Underground (ENKS),,,,, 
3.2.2.2.3,,,,Underwater (ENKS),,,,, 
3.2.2.3,,,Moving Targets (ENK),,,,,, 
3.2.2.3.1,,,,Air (ENKM),,,,, 
3.2.2.3.2,,,,Space (ENKM),,,,, 
3.2.2.3.3,,,,Surface (ENKM),,,,, 
3.2.2.3.3.1,,,,,Point (ENKMS),,,, 
3.2.2.3.3.2,,,,,Area (ENKMS),,,, 
3.2.2.3.4,,,,Underground (ENKM),,,,, 
3.2.2.3.5,,,,Underwater (ENKM),,,,, 
3.2.2.4,,,Cyberspace (ENK),,,,,, 
3.2.2.4.1,,,,Computer Network Attack,,,,, 
3.2.2.4.2,,,,Computer Network Defense,,,,, 
3.2.2.5,,,Electromagnetic Spectrum (ENK),,,,,, 
3.2.2.5.1,,,,"Position, Navigation and Timing (ENKES)",,,,, 
3.2.2.5.2,,,,Radar (ENKES),,,,, 
3.2.2.5.3,,,,Communication (ENKES),,,,, 
3.2.2.5.4,,,,ISR (ENKES),,,,, 
3.2.2.6,,,"Chemical, Biological, Radiological and Nuclear (ENK)",,,,,,
4,Logistics,,,,,,,,
4.1, Deployment and Distribution ,,,,,,,,
4.1.1,,Move the Force ,,,,,,,
4.1.1.1,,,Strategically Move the Force ,,,,,,
4.1.1.2,,,Operationally Move the Force,,,,,,
4.1.2,,Sustain the Force,,,,,,,
4.1.2.1,,,Deliver Non-Unit-Related Cargo ,,,,,,
4.1.2.2,,,Deliver Non-Unit-Related Personnel ,,,,,,
4.1.3,,Operate the JDDE ,,,,,,,
4.2,Supply ,,,,,,,,
4.2.1,,Manage Supplies and Equipment ,,,,,,,
4.2.2,,Inventory Management ,,,,,,,
4.2.3,,Manage Supplier Networks ,,,,,,,
4.3,Maintain,,,,,,,,
4.3.1,,Inspect ,,,,,,,
4.3.2,,Test ,,,,,,,
4.3.3,,Service ,,,,,,,
4.3.3.1,,,Activate / Inactivate ,,,,,,
